"","Facility","Sample.Date","Age","Timepoint","Treatment","Diet","Tank","Sex","Weight","Length","Width","Body.Condition","Pathology.Results","Dose","Severity.Score","Coelom","Ovary","Kidney","Lumen.Colonization","Notes","Alt_Body.Cond"
"DSF181","OSU","2/20/20",129,"Initial","Control","Zirc","Z31","M",133,18.048,2.189,1.538,NA,"0",NA,NA,NA,NA,NA,"",2.26237396341621
"DSF182","OSU","2/20/20",129,"Initial","Control","Zirc","Z31","F",313,21.234,4.539,0.715,NA,"0",NA,NA,NA,NA,NA,"",3.2692557667974
"DSF183","OSU","2/20/20",129,"Initial","Control","Zirc","Z31","F",196,19.126,3.363,0.906,NA,"0",NA,NA,NA,NA,NA,"",2.80145478251143
"DSF184","OSU","2/20/20",129,"Initial","Control","Zirc","Z31","M",158,20.376,2.882,0.934,NA,"0",NA,NA,NA,NA,NA,"150 PPM ANESTHESIA ADJUSTMENT GOING FORWARD",1.86767063745825
"DSF185","OSU","2/20/20",129,"Initial","Control","Zirc","Z31","F",310,23.396,3.533,1.062,NA,"0",NA,NA,NA,NA,NA,"",2.42067706684348
"DSF186","OSU","2/20/20",129,"Initial","Control","Gemma","G08","F",218,20.893,3.023,1.142,NA,"0",NA,NA,NA,NA,NA,"",2.39030918780074
"DSF187","OSU","2/20/20",129,"Initial","Control","Gemma","G08","F",197,22.41,3.087,0.923,NA,"0",NA,NA,NA,NA,NA,"",1.75041350971293
"DSF188","OSU","2/20/20",129,"Initial","Control","Gemma","G08","M",146,21.54,2.404,1.173,NA,"0",NA,NA,NA,NA,NA,"",1.46088408848301
"DSF189","OSU","2/20/20",129,"Initial","Control","Gemma","G08","F",192,20.753,3.119,0.951,NA,"0",NA,NA,NA,NA,NA,"",2.14812015764911
"DSF190","OSU","2/20/20",129,"Initial","Control","Gemma","G08","M",138,19.747,2.534,1.088,NA,"0",NA,NA,NA,NA,NA,"",1.79215557630669
"DSF191","OSU","2/20/20",129,"Initial","Control","Watts","W15","M",213,16.519,1.819,3.897,NA,"0",NA,NA,NA,NA,NA,"",4.72528865922199
"DSF192","OSU","2/20/20",129,"Initial","Control","Watts","W15","F",221,22.26,3.009,1.097,NA,"0",NA,NA,NA,NA,NA,"",2.00362662293639
"DSF193","OSU","2/20/20",129,"Initial","Control","Watts","W15","F",210,20.936,3.099,1.044,NA,"0",NA,NA,NA,NA,NA,"",2.28843281042145
"DSF194","OSU","2/20/20",129,"Initial","Control","Watts","W15","F",281,24.741,4.459,0.571,NA,"0",NA,NA,NA,NA,NA,"",1.85547271367286
"DSF195","OSU","2/20/20",129,"Initial","Control","Watts","W15","M",112,19.556,2.3,1.083,NA,"0",NA,NA,NA,NA,NA,"",1.4975382947491
"DSF196","OSU","2/20/20",129,"Initial","Control","Zirc","Z22","F",236,20.961,4.28,0.615,NA,"0",NA,NA,NA,NA,NA,"",2.56257160194972
"DSF197","OSU","2/20/20",129,"Initial","Control","Zirc","Z22","M",136,20.501,2.57,1.004,NA,"0",NA,NA,NA,NA,NA,"",1.5783880036856
"DSF198","OSU","2/20/20",129,"Initial","Control","Zirc","Z22","F",182,19.61,2.685,1.287,NA,"0",NA,NA,NA,NA,NA,"",2.41345167333629
"DSF199","OSU","2/20/20",129,"Initial","Control","Zirc","Z22","F",328,21.314,3.57,1.207,NA,"0",NA,NA,NA,NA,NA,"",3.38749731293486
"DSF200","OSU","2/20/20",129,"Initial","Control","Zirc","Z22","F",309,23.714,3.866,0.872,NA,"0",NA,NA,NA,NA,NA,"",2.31709602849779
"DSF201","OSU","2/20/20",129,"Initial","Dose_1","Zirc","Z07","F",210,18.958,4.391,0.575,NA,"3.1x10^3",NA,NA,NA,NA,NA,"Dose 1 was 3.1x10^3 dose per fish; 0.07 abs at 600 nm",3.08206460468301
"DSF202","OSU","2/20/20",129,"Initial","Dose_1","Zirc","Z07","F",142,17.542,3.105,0.84,NA,"3.1x10^3",NA,NA,NA,NA,NA,"",2.63057703482872
"DSF203","OSU","2/20/20",129,"Initial","Dose_1","Zirc","Z07","F",480,23.853,5.366,0.699,NA,"3.1x10^3",NA,NA,NA,NA,NA,"",3.53681393359681
"DSF204","OSU","2/20/20",129,"Initial","Dose_1","Zirc","Z07","M",158,19.672,2.43,1.36,NA,"3.1x10^3",NA,NA,NA,NA,NA,"",2.07544648550484
