SampleName,Facility,Sample Date,Age (Days),Experiment (e.g. Myco),Treatment,Diet,Tank #,Sex,Weight (mg),Length (mm),Width (mm),Body Condition,Pathology Results,Myco Dose,Myco Severity Score,C=coelom,O=ovary,K=kidney,A.F. Lumen Colonization,Notes
DSF181,OSU,2/20/20,129,4 mo interfacility/myco,control,zirc,Z31,M,133,18.048,2.189,1.538,NA,0,NA,NA,NA,NA,NA,
DSF182,OSU,2/20/20,129,4 mo interfacility/myco,control,zirc,Z31,F,313,21.234,4.539,0.715,NA,0,NA,NA,NA,NA,NA,
DSF183,OSU,2/20/20,129,4 mo interfacility/myco,control,zirc,Z31,F,196,19.126,3.363,0.906,NA,0,NA,NA,NA,NA,NA,
DSF184,OSU,2/20/20,129,4 mo interfacility/myco,control,zirc,Z31,M,158,20.376,2.882,0.934,NA,0,NA,NA,NA,NA,NA,150 PPM ANESTHESIA ADJUSTMENT GOING FORWARD
DSF185,OSU,2/20/20,129,4 mo interfacility/myco,control,zirc,Z31,F,310,23.396,3.533,1.062,NA,0,NA,NA,NA,NA,NA,
DSF186,OSU,2/20/20,129,4 mo interfacility/myco,control,gemma,G08,F,218,20.893,3.023,1.142,NA,0,NA,NA,NA,NA,NA,
DSF187,OSU,2/20/20,129,4 mo interfacility/myco,control,gemma,G08,F,197,22.41,3.087,0.923,NA,0,NA,NA,NA,NA,NA,
DSF188,OSU,2/20/20,129,4 mo interfacility/myco,control,gemma,G08,M,146,21.54,2.404,1.173,NA,0,NA,NA,NA,NA,NA,
DSF189,OSU,2/20/20,129,4 mo interfacility/myco,control,gemma,G08,F,192,20.753,3.119,0.951,NA,0,NA,NA,NA,NA,NA,
DSF190,OSU,2/20/20,129,4 mo interfacility/myco,control,gemma,G08,M,138,19.747,2.534,1.088,NA,0,NA,NA,NA,NA,NA,
DSF191,OSU,2/20/20,129,4 mo interfacility/myco,control,watts,W15,M,213,16.519,1.819,3.897,NA,0,NA,NA,NA,NA,NA,
DSF192,OSU,2/20/20,129,4 mo interfacility/myco,control,watts,W15,F,221,22.26,3.009,1.097,NA,0,NA,NA,NA,NA,NA,
DSF193,OSU,2/20/20,129,4 mo interfacility/myco,control,watts,W15,F,210,20.936,3.099,1.044,NA,0,NA,NA,NA,NA,NA,
DSF194,OSU,2/20/20,129,4 mo interfacility/myco,control,watts,W15,F,281,24.741,4.459,0.571,NA,0,NA,NA,NA,NA,NA,
DSF195,OSU,2/20/20,129,4 mo interfacility/myco,control,watts,W15,M,112,19.556,2.3,1.083,NA,0,NA,NA,NA,NA,NA,
DSF196,OSU,2/20/20,129,4 mo interfacility/myco,control,zirc,Z22,F,236,20.961,4.28,0.615,NA,0,NA,NA,NA,NA,NA,
DSF197,OSU,2/20/20,129,4 mo interfacility/myco,control,zirc,Z22,M,136,20.501,2.57,1.004,NA,0,NA,NA,NA,NA,NA,
